County,Total_Households,$0-41K,$41K-83K,$83K-138K,$138K+,$0-41K_Pct,$41K-83K_Pct,$83K-138K_Pct,$138K+_Pct
Alameda,593117,103285,99244,114670,275918,17.413967227376723,16.732583958982797,19.3334198817434,46.52002893189709
Contra Costa,411662,63195,72590,86499,189378,15.351089000199192,17.633505157143485,21.012179895156706,46.00322594750062
Marin,103201,14869,17342,18043,52948,14.40819371905311,16.803674383000168,17.482892607629772,51.30523929031696
Napa,49663,8729,10288,11036,19610,17.57727080522723,20.715140043895858,22.220888790447617,39.48670036042929
San Francisco,362650,69523,50823,58546,183758,19.170715565972703,14.014427133599892,16.143929408520613,50.67092789190679
San Mateo,264424,32363,39935,46171,145954,12.239055456388224,15.102713823253561,17.46109279036699,55.19713792999122
Santa Clara,654467,81988,90793,115000,366687,12.52738487960432,13.872815588868498,17.571507807116326,56.02829172441085
Solano,155800,28011,35459,40106,52224,17.978690629011552,22.759409499358156,25.74192554557124,33.51997432605905
Sonoma,190498,33569,42468,45747,68714,17.621812302491364,22.29327342019339,24.01438335310607,36.07053092420918
