row_names,mtc_county_id,county_name,occupation_management,occupation_manual,occupation_military,occupation_professional,occupation_retail,occupation_services
1,4,Alameda,92247,170801,757,228889,124198,215794
2,5,Contra Costa,70107,124165,452,143063,98608,148272
3,9,Marin,21967,22769,93,42775,24582,35410
4,7,Napa,8805,22861,79,13953,13268,18055
5,1,San Francisco,62113,68677,272,148986,88442,128402
6,2,San Mateo,51219,82328,89,111584,69823,106010
7,3,Santa Clara,122209,187506,285,319874,144328,214531
8,6,Solano,19707,60090,2345,43840,36274,66143
9,8,Sonoma,29099,69055,407,56554,53322,71025
